ID,Reference,figure number,Ichnogenus,Period,Epoch,Group,SizeBin,CS,FL-CM
lockley 2009 5,"Lockley et al., 2009","Fig. 7 (lower, first track)",Dinehichnus,Jurassic,"Jurassic, Early",Ornithischia,Orn1,19.32,11.53
lockley 2011 1,"Lockley et al., 2011",Fig. 10A,Ornithomimipus,Cretaceous,"Cretaceous, Late",Theropoda,The3,70.7,44.69
lockley 2011 2,"Lockley et al., 2011",Fig. 10B (7),Ornithomimipus,Cretaceous,"Cretaceous, Late",Theropoda,The2,38.36,22.9
lockley 2011 3,"Lockley et al., 2011",Fig. 10B (8),Ornithomimipus,Cretaceous,"Cretaceous, Late",Theropoda,The2,37.97,25.31
lockley 2011 4,"Lockley et al., 2011",Fig. 10B (14),Ornithomimipus,Cretaceous,"Cretaceous, Late",Theropoda,The2,45.78,25.26
lockley 2012 1,"Lockley et al., 2012",Fig. 5,Ornithopodichnus,Cretaceous,"Cretaceous, Late",Ornithischia,Orn1,26.54,13.7
lockley 2013 1,"Lockley et al., 2013",Fig. 2C,Changpeipus,Jurassic,"Jurassic, Early",Theropoda,The3,47.47,32.75
lockley 2013 2,"Lockley et al., 2013",Fig. 2P,Weiyuanpus,Jurassic,"Jurassic, Early",Theropoda,The3,51.48,35.49
lockley 2013 3,"Lockley et al., 2013",Fig. 2N,Jinlijingpus,Jurassic,"Jurassic, Early",Theropoda,The2,40.47,25.75
lockley 2013 4,"Lockley et al., 2013",Fig. 3A,Yangtzepus,Jurassic,"Jurassic, Early",Theropoda,The2,31.22,23.28
lockley 2013 6,"Lockley et al., 2013",Fig. 5E,Chapus,Cretaceous,"Cretaceous, Early",Theropoda,The2,34.9,22.54
lockley 2014 1,"Lockley et al., 2014d",Fig. 8B,Irenesauripus,Cretaceous,"Cretaceous, Early",Theropoda,The3,57.93,38.91
lockley 2014b 1,"Lockley et al., 2014e",Fig. 3F,Irenesauripus,Cretaceous,NA,Theropoda,The2,35.41,22.69
lockley 2014b 2,"Lockley et al., 2014e",Fig. 3E,Irenesauripus,Cretaceous,NA,Theropoda,The2,41.2,27.6
lockley 2014b 3,"Lockley et al., 2014e","Fig. 3D, upper",Irenesauripus,Cretaceous,NA,Theropoda,The3,53.16,31.57
lockley 2014b 4,"Lockley et al., 2014e",Fig. 5 (O7),Caririchnium,Cretaceous,NA,Ornithischia,Orn3,59.44,30.51
lockley 2014c 1,"Lockley et al., 2014b",Fig. 6,Eubrontes,Jurassic,"Jurassic, Early",Theropoda,The3,51.36,34.5
lockley 2014d 1,"Lockley et al., 2014c",Fig. 8B (first track),NA,Cretaceous,"Cretaceous, Early",Ornithischia,Orn3,65.59,37.96
lockley 2014e 1,"Lockley et al., 2014f",Fig. 3 (no. 1),NA,Cretaceous,NA,Ornithischia,Orn2,38.63,21.76
lockley 2014f 1,"Lockley et al., 2014g",Fig. 4b (track 1),NA,Cretaceous,NA,Ornithischia,Orn2,48.63,29.9
lockley 2014g 1,"Lockley et al., 2014a","Fig. 3a (detail, track 1)",NA,Cretaceous,NA,Ornithischia,Orn3,80.08,42.86
lockley 2014g 2,"Lockley et al., 2014a",Fig. 4 (track 53),NA,Cretaceous,NA,Ornithischia,Orn3,63.95,35.62
lockley 2014h 1,"Lockley et al., 2014h",Fig. 10 (left),NA,Cretaceous,"Cretaceous, Late",Theropoda,The3,105.36,63.83
marty 2017 1,"Marty et al., 2017",Fig. 5B,Jurabrontes,Jurassic,"Jurassic, Late",Theropoda,The3,81.81,49.66
marty 2017 2,"Marty et al., 2017",Fig. 6K,Jurabrontes,Jurassic,"Jurassic, Late",Theropoda,The3,108.26,73.61
masrour 2017 1,"Masrour et al., 2017",Fig. 7 (3.1ANZ15.1),NA,Cretaceous,"Cretaceous, Late",Theropoda,The1,24.24,17.83
masrour 2017 2,"Masrour et al., 2017",Fig. 7 (4.1ANZ1.1),NA,Cretaceous,"Cretaceous, Late",Theropoda,The2,37.34,24.89
mateus 2003 1,"Mateus and Miguel, 2003",Fig. 4A,NA,Cretaceous,"Cretaceous, Early",Theropoda,The3,56.67,35.16
mateus 2003 2,"Mateus and Miguel, 2003",Fig. 4P,NA,Cretaceous,"Cretaceous, Early",Ornithischia,Orn3,68.17,43.45
matsukawa 1997 1,"Matsukawa et al., 1997",Fig. 3A,Toyamasauripus,Cretaceous,"Cretaceous, Early",Theropoda,The1,13.92,9.07
matsukawa 1997 2,"Matsukawa et al., 1997",Fig. 3H,Toyamasauripus,Cretaceous,"Cretaceous, Early",Theropoda,The1,8.03,4.63
matsukawa 1997 3,"Matsukawa et al., 1997",Fig. 3H,Toyamasauripus,Cretaceous,"Cretaceous, Early",Theropoda,The1,8.35,4.75
matsukawa 2006 1,"Matsukawa et al., 2006",Fig. 3 (upper right),NA,NA,NA,Ornithischia,Orn2,48.84,26.64
matsukawa 2006 3,"Matsukawa et al., 2006",Fig. 4B (second track),NA,Cretaceous,"Cretaceous, Late",Theropoda,The1,25.61,18.53
matsukawa 2006 4,"Matsukawa et al., 2006",Fig. 4B (second track),NA,Cretaceous,"Cretaceous, Late",Theropoda,The2,26.87,19.5
matsukawa 2006 5,"Matsukawa et al., 2006",Fig. 9B (upper right),NA,Cretaceous,"Cretaceous, Early",Theropoda,The2,45.8,28.71
matsukawa 2006 6,"Matsukawa et al., 2006",Fig. 9C (lower right),NA,Cretaceous,"Cretaceous, Early",Theropoda,The3,71.82,37.43
mccrea 2014 1,"McCrea et al., 2014a",Fig. 8 (track 2),Bellatoripes,Cretaceous,"Cretaceous, Late",Theropoda,The3,96.95,59.22
mccrea 2014b 1,"McCrea et al., 2014",Fig. 74,NA,Cretaceous,"Cretaceous, Late",Theropoda,The2,39.47,22.51
meyer 2003 1,"Meyer and Thuring, 2003",Fig. 5B (TR1 R2),Iguanodontipus,Cretaceous,"Cretaceous, Early",Ornithischia,Orn2,42.33,22.42
milan 2015 1,"Milàn and Surlyk, 2015",Fig. 3,NA,Jurassic,"Jurassic, Early",Theropoda,The1,4.88,2.97
milner 2006 1,"Milner et al., 2006",Fig. 4D,NA,Cretaceous,"Cretaceous, Late",Ornithischia,Orn2,54.54,31.17
milner 2006 2,"Milner et al., 2006",Fig. 4H,NA,Cretaceous,"Cretaceous, Late",Ornithischia,Orn3,119.17,74.22
milner 2006b 3,"Milner and Lockley, 2006",Fig. 17A,Eubrontes,Jurassic,"Jurassic, Early",Theropoda,The3,54.68,36.09
niedzwiedzki 2004 1,"Niedźwiedzki and Pieńkowski, 2004",Fig. 3A,Anchisauripus,Jurassic,"Jurassic, Early",Theropoda,The1,25.57,19.16
